,from_person,to_person,timestamp,connection_id,forward
13994,A02635,A02574,2024-08-30 10:19:25.323,A02635_A02574,True
13995,A02574,A02635,2024-08-30 10:19:25.323,A02574_A02635,False
13996,A02635,A02572,2024-08-30 10:19:33.702,A02635_A02572,True
13997,A02572,A02635,2024-08-30 10:19:33.702,A02572_A02635,False
13998,A00858,A03128,2024-08-30 10:22:46.755,A00858_A03128,True
13999,A03128,A00858,2024-08-30 10:22:46.755,A03128_A00858,False
14000,A00858,A00037,2024-08-30 10:23:14.279,A00858_A00037,True
14001,A00037,A00858,2024-08-30 10:23:14.279,A00037_A00858,False
14002,A00710,A00898,2024-08-30 10:23:23.930,A00710_A00898,True
14003,A00898,A00710,2024-08-30 10:23:23.930,A00898_A00710,False
14004,A01796,A00898,2024-08-30 10:23:30.438,A01796_A00898,True
14005,A00898,A01796,2024-08-30 10:23:30.438,A00898_A01796,False
14006,A01905,A00941,2024-08-30 12:28:59.603,A01905_A00941,True
14007,A00941,A01905,2024-08-30 12:28:59.603,A00941_A01905,False
14008,A03178,A00037,2024-08-30 12:29:42.559,A03178_A00037,True
14009,A00037,A03178,2024-08-30 12:29:42.559,A00037_A03178,False
14010,A00907,A03278,2024-08-30 12:30:11.488,A00907_A03278,True
14011,A03278,A00907,2024-08-30 12:30:11.488,A03278_A00907,False
14012,A00037,A03111,2024-08-30 12:30:17.464,A00037_A03111,True
14013,A03111,A00037,2024-08-30 12:30:17.464,A03111_A00037,False
14014,A03937,A00698,2024-08-30 12:39:37.307,A03937_A00698,True
14015,A00698,A03937,2024-08-30 12:39:37.307,A00698_A03937,False
14016,A02000,A00153,2024-08-30 12:39:40.544,A02000_A00153,True
14017,A00153,A02000,2024-08-30 12:39:40.544,A00153_A02000,False
14018,A03599,A03034,2024-08-30 12:40:01.575,A03599_A03034,True
14019,A03034,A03599,2024-08-30 12:40:01.575,A03034_A03599,False
14020,A01135,A03034,2024-08-30 12:40:12.159,A01135_A03034,True
14021,A03034,A01135,2024-08-30 12:40:12.159,A03034_A01135,False
14022,A02993,A02670,2024-08-30 13:07:32.724,A02993_A02670,True
14023,A02670,A02993,2024-08-30 13:07:32.724,A02670_A02993,False
14024,A01434,A02047,2024-08-30 13:11:22.331,A01434_A02047,True
14025,A02047,A01434,2024-08-30 13:11:22.331,A02047_A01434,False
14026,A01020,A00941,2024-08-30 13:12:12.260,A01020_A00941,True
14027,A00941,A01020,2024-08-30 13:12:12.260,A00941_A01020,False
14028,A01898,A00709,2024-08-30 13:12:28.347,A01898_A00709,True
14029,A00709,A01898,2024-08-30 13:12:28.347,A00709_A01898,False
14030,A00898,A00237,2024-08-30 13:12:32.816,A00898_A00237,True
14031,A00237,A00898,2024-08-30 13:12:32.816,A00237_A00898,False
14032,A01451,A02905,2024-08-30 13:12:50.460,A01451_A02905,True
14033,A02905,A01451,2024-08-30 13:12:50.460,A02905_A01451,False
14034,A00154,A01274,2024-08-30 13:13:03.711,A00154_A01274,True
14035,A01274,A00154,2024-08-30 13:13:03.711,A01274_A00154,False
14036,A01723,A03587,2024-08-30 13:13:03.979,A01723_A03587,True
